@id,@lat,@lon,name,city,street,phone,website,brand,opening_hours,repair
9249458767,41.1140955,20.8023022,Микро плус компјутери,Охрид,Димитар Влахов 20,070 249 486,,,Mo-Sa 09:00-20:00,yes
9249467433,41.1152592,20.8054773,Мегасус,Охрид,Даме Груев 85 лок.3,046 268800,www.megasus.mk/,,Mo-Fr 10:00-20:00; Sat 10:00-15:00,yes
9249470434,41.1110785,20.8080293,Ентер,Охрид,Јане Сандански 26,02 3216581,www.enter.com.mk/,many,Mo-Fr 08:00-16:30,yes
9249481162,41.1252612,20.8154181,Сетек,Охрид,15-ти Корпус 2-а,046 200 083,www.setec.mk/,many,Mo-Fr 09:00-21:00; Sat 09:00-20:00,yes
9250288507,41.0317577,21.3336465,David Kompjuteri,Битола,1 Maj 152,078414736,http://www.david.com.mk/,Давид М,08:00-16:00,yes
9250317632,41.0241315,21.3101708,Pela Net,Битола,Димче Лахчански 19/4,+389 75 812424,,,,no
9250321386,41.0311261,21.3368032,Neptun Bitola,Битола,Петар Петровиќ Његош 144,047 242 114,https://www.neptun.mk/,All,Mo-Su 09:00-21:00,yes
9250328273,41.0285380,21.3348557,Neokom,Битола,Vienska 16,,http://www.neocom.com.mk/,HP  Samsung  Lenovo ,Mo-Fr 09:00-17:00,yes
9250332113,41.0257554,21.3334945,Megasoft Plus,Битола,sv. Kliment Ohridski,047252525,https://www.megasoft.com.mk/,Megasoft Plus,Mo-Fr 07:30-15:30,yes
9250358546,41.0271262,21.3434919,Akcent-Bitola,Битола,Karpos,023133122,https://www.accent.mk/,Akcent-Bitola,Mo-Sa 08:00-18:00,yes
9250360636,41.0291873,21.3365616,Infogate,Битола,Рузвелтова 5,075/213-236,https://infogate.mk/,Dahua  ajax  DVC,Mo-Sa 08:00-16:00,no
9250376137,41.0287700,21.3361044,Centrotrad DOOEL,Битола,Рузвелтова,047609424,https://www.cybo.com/r/biz/web?urlbname=%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%BE%D1%82%D1%80%D0%B5%D1%98%D0%B4-%D0%B4%D0%BE%D0%BE%D0%B5%D0%BB&%3Biso=MK&%3Bidx=0&dt=2021-11-14&hh=5d0892027d26f14b4d047c534fa86c8b039ac49149ec27b8398fa4954719869b,,Mo-Sa 08:00-20:00,no
9250406260,41.0299250,21.3349629,Anhoch Bitola,Битола,Широк Сокак 61,047273 951,https://www.anhoch.com/,All,Mo-Su 09:00-21:00,yes
9250439190,41.0288828,21.3377505,Техномаркет Грозд,Битола,Јосиф Христовски бр. 15 (Зграда Грозд),047/483-077,https://tehnomarket.com.mk/,all,Mo-Sa 09:00-20:00,no
9250839498,41.1465997,22.5034483,Штеф Компјутерс,Гевгелија,Гоце Делчев 18,075 238187,,,Mo-Su 09:00-20:00,no
9250839510,41.1437429,22.5003751,Фреш Компани Дигитал,Гевгелија,булевар „Кузман Јосифовски Питу“ 1 ,034 211099,http://www.freshcompany.com.mk/,,Mo-Fr 08:00-20:00; Sat 08:00-14:00,yes
9250869270,41.1398381,22.5021159,Екстрим компјутери,Гевгелија,Бранд Петрушев б.б.,078 238456,,,Mo-Su 09:30-20:00,
9250869559,41.1459774,22.5028635,Нептун Гевгелија,Гевгелија,бул.Гевгелија 31,034 211015,https://www.neptun.mk/,All,Mo-Sa 09:00-21:00,yes
9250937234,41.1422737,22.4977241,Комтек,Гевгелија,Партизанска 23,034 211980,,,Mo-Fr 08:00-16:00,
9250959942,41.1392877,22.5016866,Ин нехс,Гевгелија,Гевгелиски Партизански Одреди 14,034 211131,http://www.in-nehs.com.mk/,,Mo-Fr 09:00-21:00,no
9251058778,41.1386346,22.5066713,Г-стор,Гевгелија,Ристо Фаршинин 46,034 216044,,,Mo-Su 09:00-21:00,yes
9251307774,41.0307219,21.3379611,Setec,Битола,Никола Тесла 51,+389 47 222 201,https://www.setec.mk/,All,Mo-Sa 09:00-21:00,yes
9251336384,41.1444273,22.4940149,Сетек Гевгелија,Гевгелија,ул. Сава Михајлов бр.1,034 225 842,https://setec.mk/,all,Mo-Fr 09:00-21:00; Sat 09:00-20:00,yes
9251343527,41.1389468,22.5066738,VANTONI,Гевгелија,ул.Ристо Фршинин бр.20,070 392346,http://www.vantoni.mk/,,,no
9251421426,41.1397603,22.5019262,5 Нет комуникација,Гевгелија,ГТЦ Гевгелија 1 кат,034 611111,http://www.5.net.mk/,,Mo-Sa 08:00-21:00,no
9251432390,41.1401141,22.5037710,Спајдер нет,Гевгелија,Маршал Тито 126-2/6,034 217900,http://www.spider.net.mk/,,Mo-Fr 08:00-20:00; Sat 08:00-16:00,no
9251451436,41.9986546,21.4201484,Премиум Компјутери,Скопје,бул.Партизански Одреди 33,02 3232488,http://www.premium.com.mk/,,Mo-Fr 10:00-17:30; Sat 10:00-15:00,no
9251456192,41.1398274,22.5030589,Телеком продавница-Гевгелија,Гевгелија,Маршал Тито 144,034 216216,https://www.telekom.mk/,Samsung  Xiaomi  Apple  Huawei,Mo-Fr 08:00-20:00; Sat 09:00-16:00,yes
9251608776,41.7964635,20.9100380,Нет компјутерс,Гостивар,Гоце Делчев 84,078 318319,,,Mo-Sa 10:00-20:00,yes
9251615226,41.7950983,20.9040284,Давид Компјутери-Гостивар,Гостивар,ЈНА 73,070 251578,http://www.david.com.mk/,Давид M,,yes
9251652367,41.7937181,20.9106254,Делукс Компјутерс,Гостивар,ТЦ Импортане лок.71,070 745101,,,Mo-Fr 13:00-21:00,
9251692006,41.7916324,20.9141774,Сулсис Нет,Гостивар,Младен Симоновски 26,075 251235,https://www.sulsys.net/,,Mo-Fr 10:00-20:00,yes
9251694628,41.7886746,20.9076383,Нептун,Гостивар,Браќа Гиноски б.б.,042 221700,www.neptun.mk,all,Mo-Sa 09:00-21:00,yes
9251699373,41.3427492,21.5530705,Дата системи,Прилеп,Кеј 9-ти Септември 19,048 403304,,,Mo-Fr 09:30-16:30; Sat 09:30-14:30,
9251699873,41.4447411,22.6410516,Нептун-Струмица,Струмица,Ленинова  ГТЦ Глобал б.б.лок.101,034 330017,www.neptun.mk,all,Mo-Sа 09:00-21:00,no
9251701171,41.3470147,21.5519922,Давид Компјутери-Прилеп,Прилеп,Мице Козар 5,078 414713,http://www.david.com.mk/,Давид М,Mo-Fr 08:00-16:00,yes
9251701172,41.3472452,21.5554469,Тошиба АМЦ,Прилеп,бул.Гоце Делчев 14-а,048 410895,,Toshiba,Mo-Fr 08:30-16:00; Sat 10:00-15:00,yes
9251702803,41.3444659,21.5508600,Сетек Прилеп,Прилеп,Кузман Јосифовски Питу 8,048 407940,www.setek.mk,All,Mo-Fr 09:00-21:00; Sat 09:00-20:00,yes
9251727094,41.4448815,22.6410993,Томком,Струмица,Ленинова 99 лам.2-3-а,034 344500,http://www.tomkom.mk/,,Mo-Fr 09:00-20:00; Sat 09:00-18:00,yes
9251727957,41.3431550,21.5524512,Твист,Прилеп,Кеј 1-ви Мај 5,048 411295,,,Mo-Su 09:00-20:00,yes
9251731750,41.3451226,21.5533173,Атлантида компјутери,Прилеп,Бизнис Центар 9-а,048 419905,,,Mo-Su 08:30-19:00,yes
9251733658,41.3407511,21.5501300,Мета компјутери,Прилеп,Сотка Ѓорѓиоски 85,048 416755,http://www.metacomputers.com.mk/,,Mo-Sa 00:00-24:00,yes
9251734185,41.4456357,22.6414349,Сетек Струмица,Струмица,Ленинова 103,034 330341,www.setec.mk,all,Mo-Fr 08:00-20:30; Sat 09:00-19:00,yes
9251736102,41.4398095,22.6405748,Галактика компјутери,Струмица,4-ти Јули 15,034 551198,,,Mo-Fr 10:00-17:00; Sat 11:00-16:00,
9251736103,41.4412761,22.6464121,Стиллнет компјутерс,Струмица,М.Х.Јасмин 27,070 214759,,,Mo-Fr 08:00-16:00,
9251736987,41.3501100,21.5717868,Кито,Прилеп,Александар Македонски (Моша Пијаде) 228,048 415277,,,Mo-Su 09:00-20:00,
9251742372,41.4364711,22.6393655,Давид компјутери,Струмица,Маршал Тито 34,070 335531,,Давид M,Mo-Fr 08:30-16:30,yes
9251747870,41.3464541,21.5554365,Бест електроникс,Прилеп,Илинденска 19,075 308270,,,Mo-Fr 08:00-20:00; Sat 08:00-16:00,yes
9251747873,41.3434759,21.5548932,Anhoch Прилеп,Прилеп,Методија Шаторов Шарло 2,048 427466,www.anhoch.mk,all,Mo-Fr 09:00-21:00; Sat 10:00-18:00,yes
9251751500,41.4301664,22.6478315,Акцент-Струмица,Струмица,Младинска 116,034 320627,https://www.accent.mk/,Phillips,Mo-Fr 08:00-16:00; Sat 10:00-14:00,yes
9251755506,41.4365190,22.6401926,Боки компјутери,Струмица,1-ви Мај 4-а,034 324435,http://www.bokicomputers.com.mk/,,Mo-Su 09:00-17:00,
9251761830,41.4291393,22.6482538,Нинекс Компјутери,Струмица,Гоце Делчев 1,078 222053,,,Mo-Fr 08:00-17:00; Sat 09:00-15:00,
9251768892,41.4390445,22.6399682,Риверсофт,Струмица,ул.Ленинова бр.99,034 340019,https://riversoft.mk/,All,Mo-Fr 08:00-20:00; Sat 09:00-18:00,yes
9251775827,41.4330072,22.6436588,Мак Солушн,Струмица,Крушевска Република 99,034 320330,http://maksolution.net/,Мак Солушн,Mo-Fr 09:00-17:00; Sat 09:00-15:00,yes
9251785131,41.4399949,22.6419153,Технософт,Струмица,Братство Единство 36/10,078 432353,,,Mo-Fr 09:00-17:00; Sat 09:00-16:00,yes
1000000032674343,41.9927628,21.4154098,МАКПЕТРОЛ ЦЕНТАР DELL,Cкoпje,Васил Ѓоргов 33-а,02 3109713,dell.makpetrol.com.mk,DELL,Mo-Fr 08:00-16:00,yes
1000000035821909,41.9824478,21.4553514,Рема Компјутери,Cкoпje,Коста Новаковиќ 8,02 5511305,www.rema.mk/,EPSON  Samsung  D-Link  Infosec,,yes
1000000038001270,41.9906250,21.4478659,Неоком  One  Neotel,Cкoпje,булевар Кузман Јосифовски Питу,02 5511200,http://www.neocom.com.mk/,,Mo-Fr 08:00-17:00,yes
1000000305388547,41.1137740,20.8028351,Еленик-компјутери,Охрид,Димитар Влахов 22,046 264108,,,Mo-Fr 09:30-20:30; Sat 10-17,yes
1000000477026722,42.0027530,21.4179201,Accent Computers,Cкoпje,Орце Николов 133,(02) 3133-122,www.accent.mk/,,Mo-Fr 08:00-16:00,
1000000666510985,41.7180334,21.7793276,King Soft,Велес,Алексо Демниевски 3,071 311881,,,Mo-Sa 09:00-21:00,yes
1000000666511718,41.7177691,21.7811022,Telekom Veles,Велес,8-ми Септември (Маршал Тито) 31,043 225000,,Many,Mo-Sa 08:00-20:00,yes
1000000666512519,41.7170245,21.7817755,Milenium,Велес,Архиепископ Михаил (Владимир Назор) 10,043 221062,,all,Mo-Sa 09:00-13:00,yes
1000000666512526,41.7157826,21.7840203,Setec,Велес,8-ми Септември (Маршал Тито) 1,043 233384,https://www.setec.mk/,all,Mo-Sa 09:00-21:00,yes
1000000666871205,41.7142764,21.7715785,Akcent Veles Jukom,Велес,Мирка Гинова 5,043 211700,,,Mo-Fr 08:00-16:00,
1000000666873209,41.7136633,21.7706140,Panthera,Велес,8-ми Септември (Маршал Тито) 57,070 386111,,,,yes
1000000666878219,41.7145614,21.7668334,Datalink,Велес,Благој Ѓорев 104-б,077 824406,,all,,yes
1000000667899573,41.7155008,21.7719905,Login net elektronik,Велес,Лазо Осмаков 12,078 294042,,,Mo-Fr 08:00-19:00,yes
1000000669957033,41.7149314,21.7872077,PST Elektrika,Велес,Димитар Влахов 27,070 254478,,all,Mo-Fr 07:00-16:00,yes
1000000669957036,41.7153664,21.7868111,Bit Sistemi,Велес,Илинденска 4,043 551919,,all,Mo-Sa 08:00-20:00,yes
1000000670176331,41.7177507,21.7883784,Ekarta Libro,Велес,Димитар Влахов 64,078 284433,,all,,yes
1000000670179173,41.7166775,21.7740788,ABC Trend Kompjuteri,Велес,Благој Ѓорев 87/7,043 227700,,,Mo-Fr 09:00-21:00,yes
1000000671321460,41.7133277,21.7872446,Neptun Veles,Велес,Нада Бутникошарева 5-а,043 212400,https://www.neptun.mk/,all,,yes
1000001002163127,41.9398171,21.5161535,Сетра ИТ Маркет,Скопје,Димитар Гуштанов 30,02 2720-777,www.setra.mk/,all,Mo-Fr 09:00-21:00,yes
